underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-21,VIX,2017-09-06,12.500,P,0.5100,0.5900,0.5000,0.5900,130,4035,0.5000,453,0.6500,13.2000,13.2000,3376,0.5000,2486,0.7000,13.1900,13.1900,0.5246,141,
^VIX,2017-08-21,VIX,2017-09-06,13.000,C,1.9900,2.1500,1.5000,1.5000,57,5,1.4500,2233,1.6500,13.2000,13.2000,5,1.4500,2637,1.6500,13.1900,13.1900,1.8879,2699,
^VIX,2017-08-21,VIX,2017-09-06,13.000,P,0.8000,0.8500,0.7000,0.7000,116,3659,0.7500,3187,0.9500,13.2000,13.2000,2733,0.8000,346,0.9500,13.1900,13.1900,0.7987,611,
^VIX,2017-08-21,VIX,2017-09-06,13.500,C,1.4000,1.4000,1.4000,1.4000,15,2182,1.2000,1596,1.4500,13.2000,13.2000,2462,1.1500,2784,1.4500,13.1900,13.1900,1.4000,32,
^VIX,2017-08-21,VIX,2017-09-06,13.500,P,0.0000,0.0000,0.0000,0.0000,0,3395,1.0500,1751,1.2500,13.2000,13.2000,2645,1.1000,1853,1.3000,13.1900,13.1900,0.0000,132,
^VIX,2017-08-21,VIX,2017-09-06,14.000,C,1.4000,1.4000,1.4000,1.4000,5,2583,1.0500,2959,1.3000,13.2000,13.2000,3820,1.0000,3,1.2500,13.1900,13.1900,1.4000,233,
^VIX,2017-08-21,VIX,2017-09-06,14.000,P,1.1500,1.5000,1.1500,1.5000,61,2196,1.4000,30,1.5000,13.2000,13.2000,2747,1.4000,1233,1.6500,13.1900,13.1900,1.3959,41,
^VIX,2017-08-21,VIX,2017-09-06,14.500,C,1.6000,1.6000,1.0500,1.0500,59,2,1.0000,2242,1.1000,13.2000,13.2000,2,1.0000,1334,1.1000,13.1900,13.1900,1.2780,8531,
^VIX,2017-08-21,VIX,2017-09-06,14.500,P,1.9000,1.9000,1.9000,1.9000,2,10,1.8000,1887,1.9500,13.2000,13.2000,2289,1.8000,861,2.0000,13.1900,13.1900,1.9000,40,
^VIX,2017-08-21,VIX,2017-09-06,15.000,C,1.3000,1.3000,0.9500,0.9500,63,2990,0.8000,393,0.9500,13.2000,13.2000,10,0.8000,263,0.9500,13.1900,13.1900,1.1571,7818,
^VIX,2017-08-21,VIX,2017-09-06,15.000,P,0.0000,0.0000,0.0000,0.0000,0,3784,2.0500,2075,2.3500,13.2000,13.2000,2230,2.1000,792,2.4000,13.1900,13.1900,0.0000,490,
^VIX,2017-08-21,VIX,2017-09-06,16.000,C,0.9000,0.9000,0.7500,0.7500,35,1,0.7000,2373,0.8000,13.2000,13.2000,1,0.7000,3028,0.8000,13.1900,13.1900,0.8829,7798,
^VIX,2017-08-21,VIX,2017-09-06,16.000,P,0.0000,0.0000,0.0000,0.0000,0,3119,2.8500,3261,3.2000,13.2000,13.2000,1454,2.9000,334,3.2000,13.1900,13.1900,0.0000,68,
^VIX,2017-08-21,VIX,2017-09-06,17.000,C,0.6500,0.7500,0.6500,0.7500,6,3439,0.5000,1081,0.6500,13.2000,13.2000,2426,0.5000,1749,0.6500,13.1900,13.1900,0.6667,235,
^VIX,2017-08-21,VIX,2017-09-06,17.000,P,0.0000,0.0000,0.0000,0.0000,0,3975,3.7000,4150,4.1000,13.2000,13.2000,1912,3.8000,1485,4.1000,13.1900,13.1900,0.0000,9,
^VIX,2017-08-21,VIX,2017-09-06,18.000,C,0.7000,0.8000,0.5000,0.5000,70,15,0.5000,2201,0.5500,13.2000,13.2000,2262,0.4000,5,0.5000,13.1900,13.1900,0.6179,259,
^VIX,2017-08-21,VIX,2017-09-06,18.000,P,0.0000,0.0000,0.0000,0.0000,0,1572,4.6000,2730,5.1000,13.2000,13.2000,603,4.7000,698,5.1000,13.1900,13.1900,0.0000,12,
^VIX,2017-08-21,VIX,2017-09-06,19.000,C,0.4500,0.4500,0.4000,0.4000,16,5,0.4000,920,0.4500,13.2000,13.2000,5,0.3500,1333,0.4500,13.1900,13.1900,0.4344,358,
^VIX,2017-08-21,VIX,2017-09-06,19.000,P,5.4000,5.4000,5.4000,5.4000,2,1489,5.5000,2386,6.0000,13.2000,13.2000,968,5.6000,2715,6.1000,13.1900,13.1900,5.4000,3,
^VIX,2017-08-21,VIX,2017-09-06,20.000,C,0.5000,0.5000,0.3500,0.3500,1401,3646,0.2500,2316,0.4000,13.2000,13.2000,2614,0.2500,2046,0.4000,13.1900,13.1900,0.4661,1392,
^VIX,2017-08-21,VIX,2017-09-06,20.000,P,0.0000,0.0000,0.0000,0.0000,0,134,6.4000,277,7.0000,13.2000,13.2000,69,6.5000,100,7.0000,13.1900,13.1900,0.0000,8,
^VIX,2017-08-21,VIX,2017-09-06,21.000,C,0.4500,0.4500,0.2500,0.2500,18,5,0.2500,3558,0.3500,13.2000,13.2000,2061,0.2000,25,0.3000,13.1900,13.1900,0.3250,276,
^VIX,2017-08-21,VIX,2017-09-06,21.000,P,0.0000,0.0000,0.0000,0.0000,0,68,7.4000,100,7.9000,13.2000,13.2000,70,7.4000,276,8.0000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,22.000,C,0.3500,0.3500,0.2500,0.2500,1424,291,0.2000,20,0.2500,13.2000,13.2000,349,0.2000,20,0.2500,13.1900,13.1900,0.2784,1927,
^VIX,2017-08-21,VIX,2017-09-06,22.000,P,0.0000,0.0000,0.0000,0.0000,0,70,8.3000,100,8.9000,13.2000,13.2000,71,8.4000,100,9.0000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,23.000,C,0.2000,0.2000,0.2000,0.2000,3,4272,0.1000,3195,0.2500,13.2000,13.2000,2718,0.1000,1786,0.2500,13.1900,13.1900,0.2000,755,
^VIX,2017-08-21,VIX,2017-09-06,23.000,P,0.0000,0.0000,0.0000,0.0000,0,72,9.3000,276,9.9000,13.2000,13.2000,72,9.3000,100,9.9000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,24.000,C,0.2000,0.2000,0.2000,0.2000,13,3503,0.1000,1171,0.2000,13.2000,13.2000,2298,0.1000,814,0.2000,13.1900,13.1900,0.2000,972,
^VIX,2017-08-21,VIX,2017-09-06,24.000,P,0.0000,0.0000,0.0000,0.0000,0,74,10.2000,100,10.9000,13.2000,13.2000,74,10.3000,100,10.9000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,25.000,C,0.2000,0.2000,0.1500,0.1500,25,4111,0.0500,4299,0.2000,13.2000,13.2000,3060,0.0500,3706,0.2000,13.1900,13.1900,0.1700,340,
^VIX,2017-08-21,VIX,2017-09-06,25.000,P,0.0000,0.0000,0.0000,0.0000,0,77,11.2000,100,11.8000,13.2000,13.2000,77,11.2000,100,11.9000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,26.000,C,0.0000,0.0000,0.0000,0.0000,0,3340,0.0500,587,0.1500,13.2000,13.2000,3123,0.0500,345,0.1500,13.1900,13.1900,0.0000,884,
^VIX,2017-08-21,VIX,2017-09-06,26.000,P,0.0000,0.0000,0.0000,0.0000,0,79,12.2000,100,12.8000,13.2000,13.2000,79,12.2000,275,12.9000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,27.000,C,0.1500,0.1500,0.1000,0.1000,20,10,0.1000,4090,0.1500,13.2000,13.2000,1346,0.0500,2027,0.1500,13.1900,13.1900,0.1250,309,
^VIX,2017-08-21,VIX,2017-09-06,27.000,P,0.0000,0.0000,0.0000,0.0000,0,81,13.1000,100,13.8000,13.2000,13.2000,81,13.2000,275,13.9000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,28.000,C,0.2000,0.2000,0.2000,0.2000,80,0,0.0000,5,0.1000,13.2000,13.2000,0,0.0000,5,0.1000,13.1900,13.1900,0.2000,54,
^VIX,2017-08-21,VIX,2017-09-06,28.000,P,0.0000,0.0000,0.0000,0.0000,0,83,14.1000,100,14.8000,13.2000,13.2000,83,14.2000,100,14.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,29.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,467,0.1000,13.2000,13.2000,0,0.0000,433,0.1000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,29.000,P,0.0000,0.0000,0.0000,0.0000,0,85,15.1000,100,15.8000,13.2000,13.2000,85,15.1000,100,15.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,30.000,C,0.1000,0.1000,0.1000,0.1000,10,0,0.0000,1951,0.1000,13.2000,13.2000,0,0.0000,1872,0.1000,13.1900,13.1900,0.1000,52,
^VIX,2017-08-21,VIX,2017-09-06,30.000,P,0.0000,0.0000,0.0000,0.0000,0,87,16.1000,100,16.8000,13.2000,13.2000,86,16.1000,100,16.8000,13.1900,13.1900,0.0000,2,
^VIX,2017-08-21,VIX,2017-09-06,32.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4260,0.1000,13.2000,13.2000,0,0.0000,3949,0.1000,13.1900,13.1900,0.0000,202,
^VIX,2017-08-21,VIX,2017-09-06,32.500,P,0.0000,0.0000,0.0000,0.0000,0,90,18.5000,100,19.3000,13.2000,13.2000,90,18.6000,100,19.3000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,35.000,C,0.0500,0.0500,0.0500,0.0500,20,0,0.0000,514,0.0500,13.2000,13.2000,0,0.0000,5391,0.1000,13.1900,13.1900,0.0500,60,
^VIX,2017-08-21,VIX,2017-09-06,35.000,P,0.0000,0.0000,0.0000,0.0000,0,92,21.0000,100,21.8000,13.2000,13.2000,92,21.1000,100,21.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,37.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,2775,0.1000,13.2000,13.2000,0,0.0000,2754,0.1000,13.1900,13.1900,0.0000,2,
^VIX,2017-08-21,VIX,2017-09-06,37.500,P,0.0000,0.0000,0.0000,0.0000,0,93,23.5000,100,24.3000,13.2000,13.2000,93,23.5000,100,24.3000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,40.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3020,0.1000,13.2000,13.2000,0,0.0000,2520,0.1000,13.1900,13.1900,0.0000,1465,
^VIX,2017-08-21,VIX,2017-09-06,40.000,P,0.0000,0.0000,0.0000,0.0000,0,94,26.0000,100,26.7000,13.2000,13.2000,94,26.0000,100,26.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,42.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,2521,0.1000,13.2000,13.2000,0,0.0000,2520,0.1000,13.1900,13.1900,0.0000,4,
^VIX,2017-08-21,VIX,2017-09-06,42.500,P,0.0000,0.0000,0.0000,0.0000,0,95,28.5000,100,29.2000,13.2000,13.2000,95,28.5000,100,29.3000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,45.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1891,0.0500,13.2000,13.2000,0,0.0000,1815,0.0500,13.1900,13.1900,0.0000,320,
^VIX,2017-08-21,VIX,2017-09-06,45.000,P,0.0000,0.0000,0.0000,0.0000,0,95,31.0000,100,31.7000,13.2000,13.2000,95,31.0000,100,31.8000,13.1900,13.1900,0.0000,0,
