Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT 17W1320,1.9,-0.24,1.9,1.88,2.05,0.249,P,-3.821,0.071,O,1.85,1.88,0,0.024,2.14,1262,0,0.244,171117,,171011,-6.017,0.052,-12.77,15:30:00,,40.103,0.239,0,0.244,1320,1.85,1.85,Nov 1320 Puts,,76,1.65
RUT 17X1320,-1,,,,,,P,-6.633,0.092,O,-1,,0,0.032,,258,,,171215,,171011,-18.509,0.052,-13.428,15:30:00,,82.304,,0,0.22,1320,,4.21,Dec 1320 Puts,,,
RUT 18M1320,-1,,,,8.1,0.21,P,-9.662,0.104,O,7.8,,0,0.04,,30,0.001,0.208,180119,,171011,-41.888,0.052,-13.473,15:30:00,,135.394,0.206,0,0.208,1320,7.8,7.79,Jan18 1320 Puts,,,7.5
RUT 18O1320,-1,,,,16,0.209,P,-14.032,0.11,O,15.55,,0,0.055,,,0.005,0.207,180316,,171011,-96.554,0.052,-13.786,15:30:00,,219.779,0.205,0,0.207,1320,15.55,15.48,Mar18 1320 Puts,,,15.1
RUT 17J1330,-1,,,,181.9,,C,95.932,0.078,O,181,,0,0.117,,221,-0.002,,171020,,171011,31.203,0.052,-55.461,15:30:00,,20.757,,1,0.473,1330,1.7,181.33,Oct 1330 Calls,,,180.1
RUT 17K1330,-1,,,,184.5,,C,93.879,0.095,O,183.4,,0,0.119,,13,0,,171117,,171011,124.863,0.052,-24.785,15:30:00,,58.331,,1,0.266,1330,4.1,183.37,Nov 1330 Calls,,,182.3
RUT 17L1330,-1,,,,186.8,,C,91.842,0.106,O,185.65,,0,0.121,,14,-0.001,,171215,,171011,213.319,0.052,-20.59,15:30:00,,96.331,,1,0.224,1330,6.35,185.89,Dec 1330 Calls,,,184.5
RUT 18A1330,-1,,,,190.6,0.211,C,89.35,0.113,O,189.5,,0,0.126,,11,-0.001,0.203,180119,,171011,316.62,0.052,-18.573,15:30:00,,145.303,0.196,1,0.205,1330,10.2,189.76,Jan18 1330 Calls,,,188.4
RUT 18C1330,-1,,,,197.9,0.199,C,85.811,0.116,O,196.6,,0,0.134,,1,-0.003,0.193,180316,,171011,467.429,0.052,-17.484,15:30:00,,221.468,0.187,1,0.196,1330,17.3,197.25,Mar18 1330 Calls,,,195.3
RUT 17V1330,-1,,,,0.4,0.367,P,-0.948,0.031,O,0.23,,0,0.014,,1978,-0.148,,171020,,171011,-0.359,0.052,-10.195,15:30:00,,6.072,,0,0.348,1330,0.23,0.27,Oct 1330 Puts,,,0.05
RUT 17W1330,1.98,-0.32,2.1,1.98,2.1,0.239,P,-4.236,0.079,O,1.98,2.1,0,0.024,2.3,1125,-0.015,0.236,171117,,171011,-6.667,0.052,-13.254,15:30:00,,43.597,0.233,0,0.237,1330,1.98,2.01,Nov 1330 Puts,,49,1.85
RUT 17X1330,-1,,,,4.8,0.217,P,-7.291,0.102,O,4.6,,0,0.031,,1288,0.002,0.214,171215,,171011,-20.337,0.052,-14.09,15:30:00,,88.498,0.212,0,0.214,1330,4.6,4.59,Dec 1330 Puts,,,4.4
RUT 18M1330,-1,,,,,,P,-10.47,0.113,O,-1,,0,0.04,,100,,,180119,,171011,-45.382,0.052,-13.973,15:30:00,,143.539,,0,0.204,1330,,8.41,Jan18 1330 Puts,,,
RUT 18O1330,-1,,,,17.1,0.206,P,-14.969,0.116,O,16.65,,0,0.055,,16,0.01,0.204,180316,,171011,-102.996,0.052,-14.133,15:30:00,,229.521,0.202,0,0.204,1330,16.65,16.49,Mar18 1330 Puts,,,16.2
RUT 17J1340,-1,,,,172.2,,C,95.729,0.085,O,171.3,,0,0.11,,228,0,,171020,,171011,31.374,0.052,-55.134,15:30:00,,21.596,,1,0.45,1340,2,171.34,Oct 1340 Calls,,,170.4
RUT 17K1340,-1,,,,173.6,,C,93.368,0.105,O,172.5,,0,0.112,,37,-0.006,,171117,,171011,125.075,0.052,-25.4,15:30:00,,62.077,,1,0.257,1340,3.2,173.59,Nov 1340 Calls,,,171.4
RUT 17L1340,-1,,,,177.4,,C,91.104,0.116,O,176.15,,0,0.115,,39,-0.001,,171215,,171011,213.04,0.052,-21.253,15:30:00,,102.773,,1,0.219,1340,6.85,176.35,Dec 1340 Calls,,,174.9
RUT 18A1340,-1,,,,181.4,0.207,C,88.462,0.123,O,180.2,,0,0.12,,27,-0.002,0.199,180119,,171011,315.505,0.052,-19.11,15:30:00,,153.859,0.192,1,0.201,1340,10.9,180.48,Jan18 1340 Calls,,,179
RUT 18C1340,-1,,,,,,C,84.78,0.124,O,-1,,0,0.129,,21,,,180316,,171011,464.599,0.052,-18.318,15:30:00,,232.087,,1,0.193,1340,,188.41,Mar18 1340 Calls,,,
RUT 17V1340,0.24,-0.03,0.24,0.24,0.4,0.348,P,-1.045,0.035,O,0.25,0.24,0,0.013,0.27,2893,-0.107,0.327,171020,,171011,-0.395,0.052,-9.544,15:30:00,,6.614,,0,0.332,1340,0.25,0.28,Oct 1340 Puts,,4,0.1
RUT 17W1340,2.2,-0.35,2.31,2.2,2.45,0.234,P,-4.712,0.089,O,2.22,2.2,0,0.023,2.55,1208,0.005,0.23,171117,,171011,-7.412,0.052,-14.35,15:30:00,,47.492,0.225,0,0.229,1340,2.22,2.21,Nov 1340 Puts,,12,2
RUT 17X1340,-1,,,,5.2,0.211,P,-8.027,0.112,O,5,,0,0.031,,791,-0.004,0.209,171215,,171011,-22.384,0.052,-14.782,15:30:00,,95.194,0.207,0,0.209,1340,5,5.02,Dec 1340 Puts,,,4.8
RUT 18M1340,-1,,,,9.6,0.203,P,-11.363,0.122,O,9.25,,0,0.04,,6,0.018,0.2,180119,,171011,-49.241,0.052,-14.664,15:30:00,,152.199,0.198,0,0.199,1340,9.25,9.09,Jan18 1340 Puts,,,8.9
RUT 18O1340,-1,,,,18.3,0.203,P,-15.978,0.123,O,17.8,,0,0.055,,20,0.012,0.201,180316,,171011,-109.934,0.052,-14.55,15:30:00,,239.59,0.199,0,0.2,1340,17.8,17.59,Mar18 1340 Puts,,,17.3
