date,underlying,root_symbol,exchange,futures_symbol,futures_expiration_date,futures_close,options_expiration_date,strike,type,style,bid,ask,settlement,volume,open_interest
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1580,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1590,C,E,0,0,910.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1590,P,E,0,0.05,0.05,0,302
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1600,C,E,0,0,900.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1600,P,E,0,0.05,0.05,0,503
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1610,C,E,0,0,890.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1610,P,E,0,0.05,0.05,0,1
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1620,C,E,0,0,880.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1620,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1625,C,E,0,0,875.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1625,P,E,0,0.05,0.05,0,2
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1630,C,E,0,0,870.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1630,P,E,0,0.05,0.05,0,2
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1640,C,E,0,0,860.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1640,P,E,0,0.05,0.05,0,300
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1650,C,E,0,0,850.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1650,P,E,0,0.05,0.05,0,78
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1660,C,E,0,0,840.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1660,P,E,0,0.05,0.05,0,335
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1670,C,E,0,0,830.75,0,0
