Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RURDF,-1,,,,134.9,,C,88.202,0.139,O,133.65,,0,0.301,,,-0.006,,090417,,090126,59.17,0.367,-17.382,15:30:00,,42.382,,0.969,0.663,330,6.4,134.48,Apr 330 Calls,,,132.4
RURFF,149.1,,,,140.4,,C,84.524,0.136,O,139.58,,0,0.325,,106,-0.006,,090619,,090126,95.637,0.367,-14.606,15:30:00,,67.774,,0.916,0.615,330,12.33,140.49,Jun 330 Calls,,,137.8
RURIF,,,,,,,C,82.525,0.13,O,0,,0,0.341,,,,,090918,,,146.296,0.367,-11.046,,,93.132,,0.857,0.546,330,,144.52,Sep 330 Calls,,,
RURNF,1.09,-1,1.72,1.09,1.2,0.713,P,-3.198,0.085,O,1.15,1.71,0,0.057,2.09,5667,0.027,0.708,090220,,090126,-1.076,0.367,-12.032,15:30:00,,8.587,0.702,0,0.705,330,1.15,1.12,Feb 330 Puts,,94,1.1
RUROF,4.85,-2.3,6.3,4.85,5.1,0.681,P,-8.302,0.131,O,4.99,6.3,0,0.097,7.15,1383,0.01,0.676,090320,,090126,-6.204,0.367,-16.939,15:30:00,,26.572,0.673,0.01,0.675,330,4.99,4.94,Mar 330 Puts,,107,4.9
RURPF,10.8,,,,8.5,0.64,P,-11.11,0.139,O,8.42,,0,0.122,,32,0.004,0.638,090417,,090126,-13.062,0.367,-15.97,15:30:00,,40.612,0.63,0.031,0.637,330,8.42,8.39,Apr 330 Puts,,,8.1
RURRF,16.7,,,,16,0.6,P,-14.922,0.138,O,15.75,,0,0.168,,223,0.012,0.596,090619,,090126,-32.774,0.367,-13.683,15:30:00,,66.156,0.591,0.084,0.593,330,15.75,15.57,Jun 330 Puts,,,15.4
RURUF,,,,,,,P,-17.726,0.129,O,0,,0,0.218,,,,,090918,,,-66.855,0.367,-11.039,,,93.975,,0.143,0.557,330,,24.15,Sep 330 Puts,,,
RURBH,103,,,,119.7,,C,95.653,0.111,O,117.57,,0,0.253,,14,-0.005,,090220,,090126,21.806,0.367,-15.022,15:30:00,,11.031,,0.999,0.695,340,0.32,118.12,Feb 340 Calls,,,116.9
RURCH,-1,,,,123.3,,C,89.716,0.152,O,121.85,,0,0.27,,181,-0.003,,090320,,090126,41.6,0.367,-19.842,15:30:00,,31.124,,0.982,0.677,340,4.6,122.21,Mar 340 Calls,,,120.4
RURDH,-1,,,,126.3,,C,86.656,0.156,O,124.95,,0,0.284,,,-0.006,,090417,,090126,59.552,0.367,-18.457,15:30:00,,46.181,,0.954,0.646,340,7.7,125.73,Apr 340 Calls,,,123.6
RURFH,-1,,,,132.4,,C,82.925,0.148,O,131.05,,0,0.31,,92,-0.009,,090619,,090126,96.009,0.367,-15.233,15:30:00,,72.245,,0.894,0.602,340,13.8,132.3,Jun 340 Calls,,,129.7
RURIH,-1,,,,139.6,,C,80.888,0.14,O,137.9,,0,0.328,,11,0.007,,090918,,090126,146.409,0.367,-11.504,15:30:00,,98.481,,0.833,0.538,340,20.65,136.97,Sep 340 Calls,,,136.2
RURNH,1.4,-0.99,2.25,1.4,1.5,0.688,P,-4.091,0.108,O,1.42,2.13,0,0.057,2.39,6374,-0.014,0.68,090220,,090126,-1.377,0.367,-13.861,15:30:00,,10.503,0.673,0.001,0.682,340,1.42,1.44,Feb 340 Puts,,91,1.35
RUROH,6,-2.62,7.7,5.95,6.1,0.666,P,-9.779,0.151,O,5.95,7.7,0,0.098,8.62,1016,0.014,0.661,090320,,090126,-7.315,0.367,-18.742,15:30:00,,30.004,0.656,0.018,0.658,340,5.95,5.87,Mar 340 Puts,,86,5.8
RURPH,12.3,,,,9.8,0.626,P,-12.71,0.156,O,9.73,,0,0.123,,30,0.007,0.624,090417,,090126,-14.957,0.367,-17.226,15:30:00,,44.654,0.617,0.046,0.623,340,9.73,9.66,Apr 340 Puts,,,9.4
RURRH,23.1,,,,17.8,0.587,P,-16.585,0.15,O,17.77,,0,0.17,,198,0.018,0.587,090619,,090126,-36.482,0.367,-14.471,15:30:00,,70.908,0.579,0.106,0.582,340,17.77,17.45,Jun 340 Puts,,,17.2
RURUH,29.9,,,,27,0.553,P,-19.324,0.138,O,26.57,,0,0.22,,65,0.002,0.548,090918,,090126,-73.002,0.367,-11.465,15:30:00,,99.145,0.541,0.167,0.548,340,26.57,26.51,Sep 340 Puts,,,25.8
RURBJ,120.99,,,,110.1,,C,94.479,0.139,O,109.48,,0,0.233,,86,0.008,,090220,,090126,22.093,0.367,-17.689,15:30:00,,13.35,,0.997,0.673,350,2.23,108.56,Feb 350 Calls,,,107.7
RURCJ,149.2,,,,113.6,,C,88.066,0.174,O,114.34,,0,0.252,,113,0.009,,090320,,090126,41.806,0.367,-21.49,15:30:00,,34.622,,0.971,0.658,350,7.09,113.27,Mar 350 Calls,,,111.6
RURDJ,-1,,,,117.8,,C,84.941,0.173,O,116.5,,0,0.268,,,-0.005,,090417,,090126,59.729,0.367,-19.521,15:30:00,,50.118,,0.936,0.629,350,9.25,117.13,Apr 350 Calls,,,115.2
RURFJ,117.66,,,,124.6,,C,81.204,0.161,O,122.89,,0,0.295,,308,-0.011,,090619,,090126,96.099,0.367,-15.833,15:30:00,,76.737,,0.87,0.589,350,15.64,124.28,Jun 350 Calls,,,121.7
